,template
0,Here is the information you requested: [data].
1,I found the following data: [data].
2,Your query returned the following information: [data].
3,Here are the results: [data].
4,The data you asked for is: [data].
5,I've gathered the requested information: [data].
6,Below is the information you needed: [data].
7,The following data was retrieved: [data].
8,I've got the data ready for you: [data].
9,Here's what I found: [data].
10,The information you requested is: [data].
11,I located the data you asked for: [data].
12,The query produced this data: [data].
13,The results are as follows: [data].
14,I've obtained the following data: [data].
15,Here's the data: [data].
16,The requested data is: [data].
17,Here's what I found: [data].
18,I've got the results ready: [data].
19,I found this information: [data].
20,I located the requested data: [data].
21,The query produced the following data: [data].
22,The data is ready: [data].
23,Here's the data you asked for: [data].
24,I found this data: [data].
25,Your query produced the following results: [data].
26,The information retrieved is: [data].
27,I've gathered this data: [data].
28,Here's what I retrieved: [data].
29,The information is as follows: [data].
30,Here are the details: [data].
31,The data you need is: [data].
32,I found the data: [data].
33,Your query returned this data: [data].
34,Here is the requested information: [data].
35,I've got the following data ready: [data].
36,Below is the information: [data].
37,The data retrieved is as follows: [data].
38,I've located the data: [data].
39,The query returned the following data: [data].
40,The results are ready: [data].
41,Here's what I have: [data].
42,The requested data is as follows: [data].
43,I've got the information you need: [data].
44,Here's the data retrieved: [data].
45,The data is the following: [data].
46,The following data is ready: [data].
47,Here's what I've found: [data].
48,The information you need is: [data].
49,I located this data: [data].
50,Your query produced this information: [data].
51,The requested results are: [data].
52,Here is the data you need: [data].
53,I found this information: [data].
54,Your query returned the following information: [data].
55,Here's the requested information: [data].
56,The data retrieved is ready: [data].
57,I've gathered the following information: [data].
58,Below is the requested data: [data].
59,The data is as follows: [data].
60,I've got the data you requested: [data].
61,The following information was retrieved: [data].
62,Here's what I've got: [data].
63,The information is the following: [data].
64,Here are the results you requested: [data].
65,The data you asked for: [data].
66,I found the following data: [data].
67,Your query returned the following results: [data].
68,Here is the information retrieved: [data].
69,I've gathered this information: [data].
70,Here's what I retrieved: [data].
71,The information is as follows: [data].
72,Here are the details you requested: [data].
73,The data you need is as follows: [data].
74,I found the data as follows: [data].
75,Your query returned the following data: [data].
76,Here is the requested data: [data].
77,I've got the following information ready: [data].
78,Below is the data retrieved: [data].
79,The data retrieved is as follows: [data].
80,I've located the requested data: [data].
81,The query returned this data: [data].
82,The results are the following: [data].
83,Here's what I have for you: [data].
84,The requested data is ready: [data].
85,I've got the following data for you: [data].
86,Here's the information you asked for: [data].
87,The data is ready as follows: [data].
88,The following data is ready for you: [data].
89,Here's what I've found for you: [data].
90,The information you need is as follows: [data].
91,I located this data for you: [data].
92,Your query produced this information: [data].
93,Here are the requested results: [data].
94,Here is the data you need: [data].
95,I found this information for you: [data].
96,Your query returned this information: [data].
97,Here's the requested information for you: [data].
98,The data retrieved is ready as follows: [data].
99,I've gathered the following information for you: [data].
100,Below is the requested data for you: [data].
101,The data is as follows for you: [data].
102,I've got the data you requested for you: [data].
103,The following information was retrieved for you: [data].
104,Here's what I've got for you: [data].
105,The information is the following for you: [data].
106,Here are the results you requested for you: [data].
107,The data you asked for is ready for you: [data].
108,I found the following data for you: [data].
109,Your query returned the following results for you: [data].
110,Here is the information retrieved for you: [data].
111,I've gathered this information for you: [data].
112,Here's what I retrieved for you: [data].
113,The information is as follows for you: [data].
114,Here are the details you requested for you: [data].
115,The data you need is as follows for you: [data].
116,I found the data as follows for you: [data].
117,Your query returned the following data for you: [data].
118,Here is the requested data for you: [data].
119,I've got the following information ready for you: [data].
120,Below is the data retrieved for you: [data].
121,The data retrieved is as follows for you: [data].
122,I've located the requested data for you: [data].
123,The query returned this data for you: [data].
124,The results are the following for you: [data].
125,Here's what I have for you: [data].
126,The requested data is ready for you: [data].
127,I've got the following data for you: [data].
128,Here's the information you asked for: [data].
129,The data is ready as follows for you: [data].
130,The following data is ready for you: [data].
131,Here's what I've found for you: [data].
132,The information you need is as follows for you: [data].
133,I located this data for you: [data].
134,Your query produced this information for you: [data].
135,Here are the requested results for you: [data].
136,Here is the data you need for you: [data].
137,I found this information for you: [data].
138,Your query returned this information for you: [data].
139,Here's the requested information for you: [data].
140,The data retrieved is ready as follows for you: [data].
141,I've gathered the following information for you: [data].
142,Below is the requested data for you: [data].
143,The data is as follows for you: [data].
144,I've got the data you requested for you: [data].
145,The following information was retrieved for you: [data].
146,Here's what I've got for you: [data].
147,The information is the following for you: [data].
148,Here are the results you requested for you: [data].
149,The data you asked for is ready for you: [data].
150,I found the following data for you: [data].
151,Your query returned the following results for you: [data].
152,Here is the information retrieved for you: [data].
153,I've gathered this information for you: [data].
154,Here's what I retrieved for you: [data].
155,The information is as follows for you: [data].
156,Here are the details you requested for you: [data].
157,The data you need is as follows for you: [data].
158,I found the data as follows for you: [data].
159,Your query returned the following data for you: [data].
160,Here is the requested data for you: [data].
161,I've got the following information ready for you: [data].
162,Below is the data retrieved for you: [data].
163,The data retrieved is as follows for you: [data].
164,I've located the requested data for you: [data].
165,The query returned this data for you: [data].
166,The results are the following for you: [data].
167,Here's what I have for you: [data].
168,The requested data is ready for you: [data].
169,I've got the following data for you: [data].
170,Here's the information you asked for: [data].
171,The data is ready as follows for you: [data].
172,The following data is ready for you: [data].
173,Here's what I've found for you: [data].
174,The information you need is as follows for you: [data].
175,I located this data for you: [data].
176,Your query produced this information for you: [data].
177,Here are the requested results for you: [data].
178,Here is the data you need for you: [data].
179,I found this information for you: [data].
180,Your query returned this information for you: [data].
181,Here's the requested information for you: [data].
182,The data retrieved is ready as follows for you: [data].
183,I've gathered the following information for you: [data].
184,Below is the requested data for you: [data].
185,The data is as follows for you: [data].
186,I've got the data you requested for you: [data].
187,The following information was retrieved for you: [data].
188,Here's what I've got for you: [data].
189,The information is the following for you: [data].
190,Here are the results you requested for you: [data].
191,The data you asked for is ready for you: [data].
192,I found the following data for you: [data].
193,Your query returned the following results for you: [data].
194,Here is the information retrieved for you: [data].
195,I've gathered this information for you: [data].
196,Here's what I retrieved for you: [data].
197,The information is as follows for you: [data].
198,Here are the details you requested for you: [data].
199,The data you need is as follows for you: [data].
200,I found the data as follows for you: [data].
201,Your query returned the following data for you: [data].
202,Here is the requested data for you: [data].
203,I've got the following information ready for you: [data].
204,Below is the data retrieved for you: [data].
205,The data retrieved is as follows for you: [data].
206,I've located the requested data for you: [data].
207,The query returned this data for you: [data].
208,The results are the following for you: [data].
209,Here's what I have for you: [data].
210,The requested data is ready for you: [data].
211,I've got the following data for you: [data].
212,Here's the information you asked for: [data].
213,The data is ready as follows for you: [data].
214,The following data is ready for you: [data].
215,Here's what I've found for you: [data].
216,The information you need is as follows for you: [data].
217,I located this data for you: [data].
218,Your query produced this information for you: [data].
219,Here are the requested results for you: [data].
220,Here is the data you need for you: [data].
221,I found this information for you: [data].
222,Your query returned this information for you: [data].
223,Here's the requested information for you: [data].
224,The data retrieved is ready as follows for you: [data].
225,I've gathered the following information for you: [data].
226,Below is the requested data for you: [data].
227,The data is as follows for you: [data].
228,I've got the data you requested for you: [data].
229,The following information was retrieved for you: [data].
230,Here's what I've got for you: [data].
231,The information is the following for you: [data].
232,Here are the results you requested for you: [data].
233,The data you asked for is ready for you: [data].
234,I found the following data for you: [data].
235,Your query returned the following results for you: [data].
236,Here is the information retrieved for you: [data].
237,I've gathered this information for you: [data].
238,Here's what I retrieved for you: [data].
239,The information is as follows for you: [data].
240,Here are the details you requested for you: [data].
241,The data you need is as follows for you: [data].
242,I found the data as follows for you: [data].
243,Your query returned the following data for you: [data].
244,Here is the requested data for you: [data].
245,I've got the following information ready for you: [data].
246,Below is the data retrieved for you: [data].
247,The data retrieved is as follows for you: [data].
248,I've located the requested data for you: [data].
249,The query returned this data for you: [data].
250,The results are the following for you: [data].
251,Here's what I have for you: [data].
252,The requested data is ready for you: [data].
253,I've got the following data for you: [data].
254,Here's the information you asked for: [data].
255,The data is ready as follows for you: [data].
256,The following data is ready for you: [data].
257,Here's what I've found for you: [data].
258,The information you need is as follows for you: [data].
259,I located this data for you: [data].
260,Your query produced this information for you: [data].
261,Here are the requested results for you: [data].
262,Here is the data you need for you: [data].
263,I found this information for you: [data].
264,Your query returned this information for you: [data].
265,Here's the requested information for you: [data].
266,The data retrieved is ready as follows for you: [data].
267,I've gathered the following information for you: [data].
268,Below is the requested data for you: [data].
269,The data is as follows for you: [data].
270,I've got the data you requested for you: [data].
271,The following information was retrieved for you: [data].
272,Here's what I've got for you: [data].
273,The information is the following for you: [data].
274,Here are the results you requested for you: [data].
275,The data you asked for is ready for you: [data].
276,I found the following data for you: [data].
277,Your query returned the following results for you: [data].
278,Here is the information retrieved for you: [data].
279,I've gathered this information for you: [data].
280,Here's what I retrieved for you: [data].
281,The information is as follows for you: [data].
282,Here are the details you requested for you: [data].
283,The data you need is as follows for you: [data].
284,I found the data as follows for you: [data].
285,Your query returned the following data for you: [data].
286,Here is the requested data for you: [data].
287,I've got the following information ready for you: [data].
288,Below is the data retrieved for you: [data].
289,The data retrieved is as follows for you: [data].
290,I've located the requested data for you: [data].
291,The query returned this data for you: [data].
292,The results are the following for you: [data].
293,Here's what I have for you: [data].
294,The requested data is ready for you: [data].
295,I've got the following data for you: [data].
296,Here's the information you asked for: [data].
297,The data is ready as follows for you: [data].
298,The following data is ready for you: [data].
299,Here's what I've found for you: [data].
300,The information you need is as follows for you: [data].
301,I located this data for you: [data].
302,Your query produced this information for you: [data].
303,Here are the requested results for you: [data].
304,Here is the data you need for you: [data].
305,I found this information for you: [data].
306,Your query returned this information for you: [data].
307,Here's the requested information for you: [data].
308,The data retrieved is ready as follows for you: [data].
309,I've gathered the following information for you: [data].
310,Below is the requested data for you: [data].
311,The data is as follows for you: [data].
312,I've got the data you requested for you: [data].
313,The following information was retrieved for you: [data].
314,Here's what I've got for you: [data].
315,The information is the following for you: [data].
316,Here are the results you requested for you: [data].
317,The data you asked for is ready for you: [data].
318,I found the following data for you: [data].
319,Your query returned the following results for you: [data].
320,Here is the information retrieved for you: [data].
321,I've gathered this information for you: [data].
322,Here's what I retrieved for you: [data].
323,The information is as follows for you: [data].
324,Here are the details you requested for you: [data].
325,The data you need is as follows for you: [data].
326,I found the data as follows for you: [data].
327,Your query returned the following data for you: [data].
328,Here is the requested data for you: [data].
329,I've got the following information ready for you: [data].
330,Below is the data retrieved for you: [data].
331,The data retrieved is as follows for you: [data].
332,I've located the requested data for you: [data].
333,The query returned this data for you: [data].
334,The results are the following for you: [data].
335,Here's what I have for you: [data].
336,The requested data is ready for you: [data].
337,I've got the following data for you: [data].
338,Here's the information you asked for: [data].
339,The data is ready as follows for you: [data].
340,The following data is ready for you: [data].
341,Here's what I've found for you: [data].
342,The information you need is as follows for you: [data].
343,I located this data for you: [data].
344,Your query produced this information for you: [data].
345,Here are the requested results for you: [data].
346,Here is the data you need for you: [data].
347,I found this information for you: [data].
348,Your query returned this information for you: [data].
349,Here's the requested information for you: [data].
350,The data retrieved is ready as follows for you: [data].
351,I've gathered the following information for you: [data].
352,Below is the requested data for you: [data].
353,The data is as follows for you: [data].
354,I've got the data you requested for you: [data].
355,The following information was retrieved for you: [data].
356,Here's what I've got for you: [data].
357,The information is the following for you: [data].
358,Here are the results you requested for you: [data].
359,The data you asked for is ready for you: [data].
360,I found the following data for you: [data].
361,Your query returned the following results for you: [data].
362,Here is the information retrieved for you: [data].
363,I've gathered this information for you: [data].
364,Here's what I retrieved for you: [data].
365,The information is as follows for you: [data].
366,Here are the details you requested for you: [data].
367,The data you need is as follows for you: [data].
368,I found the data as follows for you: [data].
369,Your query returned the following data for you: [data].
370,Here is the requested data for you: [data].
371,I've got the following information ready for you: [data].
372,Below is the data retrieved for you: [data].
373,The data retrieved is as follows for you: [data].
374,I've located the requested data for you: [data].
375,The query returned this data for you: [data].
